   2.71906400      0.541144013       4.87428141    
   2.53192639       1.16405678       4.76898146    
   2.42344904       1.74005628       4.67987967    
   2.38197684       2.28717709       4.60502243    
   2.39869213       2.82082605       4.54403830    
   2.46709704       3.35434341       4.49773741    
   2.58259773       3.89947033       4.46789837    
   2.74217296       4.46672487       4.45718431    
   2.94410968       5.06569481       4.46915340    
   3.18778944       5.70525312       4.50833607    
   3.47351503       6.39369631       4.58036995    
   3.80236363       7.13880444       4.69218588    
   4.17605686       7.94781303       4.85223293    
   4.59683609       8.82728672       5.07074690    
   5.06733179       9.78286934       5.36004353    
   5.59041214       10.8188877       5.73482656    
   6.16900158       11.9377728       6.21248245    
   6.80584431       13.1392632       6.81331682    
   7.50320339       14.4193439       7.56066322    
   8.26246643       15.7689037       8.48076439    
   9.08364296       17.1720924       9.60227871    
   9.96473312       18.6044331       10.9552288    
   10.9009666       20.0308037       12.5691624    
   11.8839169       21.4035664       14.4702759    
   12.9005442       22.6612568       16.6773148    
   13.9322634       23.7285080       19.1961918    
   14.9541903       24.5180302       22.0135765    
   15.9348087       24.9355412       25.0901909    
   16.8363438       24.8883438       28.3551865    
   17.6161442       24.2975388       31.7035828    
   18.2292747       23.1127186       34.9990082    
   18.6323395       21.3264599       38.0835075    
   18.7881775       18.9846992       40.7946014    
   18.6707401       16.1888504       42.9873276    
   18.2691536       13.0871010       44.5565186    
   17.5899734       9.85545349       45.4533043    
   16.6569824       6.67271566       45.6910019    
   15.5084944       3.69588685       45.3387756    
   14.1927633       1.04209542       44.5054932    
   12.7625437      -1.21945357       43.3190117    
   11.2698917      -3.06565332       41.9065666    
   9.76204491      -4.51066256       40.3802757    
   8.27876759      -5.59396172       38.8292236    
   6.85116100      -6.36864853       37.3174858    
   5.50165892      -6.89199734       35.8862648    
   4.24481297      -7.21899462       34.5581703    
   3.08850956      -7.39863634       33.3420868    
   2.03532243      -7.47235012       32.2376404    
   1.08381474      -7.47382259       31.2388363    
  0.229685187      -7.42962265       30.3367386    
 -0.533282399      -7.36018896       29.5213242    
  -1.21246862      -7.28090382       28.7826500    
  -1.81584764      -7.20310354       28.1115341    
  -2.35156822      -7.13495779       27.4998837    
  -2.82765627      -7.08219910       26.9408188    
  -3.25181365      -7.04870605       26.4286518    
  -3.63128924      -7.03696394       25.9588051    
  -3.97280192      -7.04841661       25.5276852    
  -4.28250408      -7.08373785       25.1325588    
  -4.56597090      -7.14303255       24.7714214    
  -4.82820988      -7.22598791       24.4428864    
  -5.07367992      -7.33198023       24.1460896    
  -5.30632019      -7.46015215       23.8805943    
  -5.52958155      -7.60946274       23.6463280    
  -5.74645662      -7.77871656       23.4435177    
  -5.95951366      -7.96657848       23.2726345    
  -6.17092228      -8.17157459       23.1343517    
  -6.38248158      -8.39208317       23.0294991    
  -6.59563971      -8.62631702       22.9590168    
  -6.81151199      -8.87230206       22.9239178    
  -7.03089476      -9.12785149       22.9252396    
  -7.25427341      -9.39053726       22.9639931    
  -7.48182917      -9.65766716       23.0411072    
  -7.71344137      -9.92625999       23.1573639    
  -7.94868803      -10.1930313       23.3133259    
  -8.18684578      -10.4543886       23.5092621    
  -8.42688751      -10.7064371       23.7450562    
  -8.66748714      -10.9450064       24.0201225    
  -8.90702057      -11.1656914       24.3333130    
  -9.14357758      -11.3639240       24.6828232    
  -9.37497807      -11.5350628       25.0661144    
  -9.59879589      -11.6745129       25.4798508    
  -9.81239700      -11.7778664       25.9198475    
  -10.0129871      -11.8410702       26.3810635    
  -10.1976719      -11.8606024       26.8576183    
  -10.3635283      -11.8336601       27.3428650    
  -10.5076895      -11.7583389       27.8295059    
  -10.6274366      -11.6337919       28.3097553    
  -10.7202978      -11.4603596       28.7755508    
